"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was ist Binnenschifffahrtsfunk?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Internationaler mobiler UKW/VHF-Sprechfunkdienst auf Binnenschifffahrtsstraßen</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Nationales UKW/VHF-Sprechfunkverfahren im Binnenbereich</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Internationales UKW/VHF-Sprechfunkverfahren im Binnenbereich</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Nationaler mobiler UKW/VHF-Sprechfunkdienst auf Binnenschifffahrtsstraßen</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A</div><div style='margin-top:4px;'>Internationaler mobiler UKW/VHF-Sprechfunkdienst auf Binnenschifffahrtsstraßen</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wozu dient der Binnenschifffahrtsfunk?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Funkverkehr für bestimmte Zwecke auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Funkverkehr für Schiffsfunkstellen zu bestimmten Zwecken auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Funkverkehr für Schiffsfunkstellen über Landfunkstellen auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Funkverkehr zu Landfunkstellen für bestimmte Zwecke auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A</div><div style='margin-top:4px;'>Funkverkehr für bestimmte Zwecke auf vereinbarten Kanälen (Verkehrskreise) und nach einem festgelegten Betriebsverfahren</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wo findet man Angaben über die grundsätzlichen Regelungen für den Binnenschifffahrtsfunk in Europa?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Verwaltungsvereinbarung über die Koordinierung von Frequenzen (HCM)</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Regionale Vereinbarung über den Binnenschifffahrtsfunk (RAINWAT)</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>International Convention for the Safety of Life at Sea (SOLAS)</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Binnenschifffahrt-Sprechfunkverordnung (BinSchSprFunkV)</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> B</div><div style='margin-top:4px;'>Regionale Vereinbarung über den Binnenschifffahrtsfunk (RAINWAT)</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was ist eine Revierzentrale?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Zentrale Schiffsfunkstelle der Wasserstraßen- und Schifffahrtsverwaltung</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Zentrale Seefunkstelle zur Schiffslenkung</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Zentrale Telematikdienste zur Datenübermittlung von AIS</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Zentrale Landfunkstelle des Verkehrskreises Nautische Information</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> D</div><div style='margin-top:4px;'>Zentrale Landfunkstelle des Verkehrskreises Nautische Information</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was ist ein Verkehrsposten?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Zentrale ortsfeste Funkstelle in den Niederlanden und in Frankreich</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Zentrale ortsfeste Funkstelle in den Niederlanden</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Zentrale mobile Funkstelle in den Niederlanden</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Zentrale mobile Funkstelle in den Niederlanden und in Frankreich</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> B</div><div style='margin-top:4px;'>Zentrale ortsfeste Funkstelle in den Niederlanden</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was ist ein Blockkanal?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Gesperrter Funkkanal der Verkehrsposten und Verkehrszentralen in den Niederlanden</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Funkkanal für sicherheitsrelevante Meldungen der Verkehrsposten und Schiffsfunkstellen in den Niederlanden</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Funkkanal für Routinegespräche der Verkehrsposten und Schiffsfunkstellen in den Niederlanden</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Funkkanal für öffentlichen Nachrichtenaustausch zwischen den Verkehrsposten in den Niederlanden</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> B</div><div style='margin-top:4px;'>Funkkanal für sicherheitsrelevante Meldungen der Verkehrsposten und Schiffsfunkstellen in den Niederlanden</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Was bedeutet MIB?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Maritimes Identifikationssystem in der Binnenschifffahrt</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Melde- und Informationssystem in der Binnenschifffahrt</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Melde- und Identifikationssystem in der Binnenschifffahrt</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Mobiles Informationssystem in der Binnenschifffahrt</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> B</div><div style='margin-top:4px;'>Melde- und Informationssystem in der Binnenschifffahrt</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wo darf der Inhaber eines in Deutschland erworbenen UKW-Sprechfunkzeugnisses für den Binnenschifffahrtsfunk am Funkverkehr teilnehmen?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>In allen Ländern, die der Regionalen Vereinbarung über den Binnenschifffahrtsfunk beigetreten sind</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>In allen Staaten, die die Vollzugsordnung für den Funkdienst ratifiziert haben</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>In allen deutschsprachigen Ländern</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>In allen Mitgliedstaaten der EU</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> A</div><div style='margin-top:4px;'>In allen Ländern, die der Regionalen Vereinbarung über den Binnenschifffahrtsfunk beigetreten sind</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wo berechtigt das UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI) auch zur Teilnahme am mobilen Seefunkdienst?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Wasserstraßen der Zonen 2 bis 4</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Wasserstraßen der Zonen 1 bis 2</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Wasserstraßen der Zonen 1 bis 4</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Wasserstraßen der Zonen 2 bis 3</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> B</div><div style='margin-top:4px;'>Wasserstraßen der Zonen 1 bis 2</div></div>"
"<div style='text-align:left;'><div style='font-weight:700; margin-bottom:8px;'>Wer erteilt neben der zuständigen Stelle des Bundes das UKW-Sprechfunkzeugnis für den Binnenschifffahrtsfunk (UBI)?</div><div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>A.</span><span>Zentrale Verwaltungsstelle (ZVST) und Generaldirektion Wasserstraßen und Schifffahrt (GDWS)</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>B.</span><span>Wasserstraßen- und Schifffahrtsamt (WSA) und Bundesnetzagentur (BNetzA)</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>C.</span><span>Prüfungsausschüsse des Deutschen Motoryachtverbandes e. V. (DMYV) und des Deutschen Segler-Verbandes e. V. (DSV)</span></div><div style='margin:2px 0;'><span style='display:inline-block; width:24px;'>D.</span><span>Bundesnetzagentur (BNetzA) und das Bundesamt für Seeschifffahrt und Hydrographie (BSH)</span></div></div></div>";"<div style='text-align:left;'><div style='margin-top:8px;'><b>Richtige Antwort:</b> C</div><div style='margin-top:4px;'>Prüfungsausschüsse des Deutschen Motoryachtverbandes e. V. (DMYV) und des Deutschen Segler-Verbandes e. V. (DSV)</div></div>"
